,degree,betweenness,eigenvector
von Spakovsky,6,0.0,5.449412524509993e-25
Danny Carroll,6,0.0,5.449412524509993e-25
Josh Pugh,6,0.0,5.449412524509993e-25
Pugh,6,0.0,5.449412524509993e-25
Andre McPherson,10,0.0,0.0002954269849797325
McPherson,12,0.0,0.00029646666688711384
Deborah Capraro,10,0.0,0.0002954269849797325
Capraro,10,0.0,0.0002954269849797325
Satterfield,10,0.0,0.0002954269849797325
Ruth Marcus,10,0.0,0.0016180729583450363
Roberta Jacobson,4,0.0,0.00046967449241250617
Jacobson,6,0.0,0.000471326412310989
Deborah Feyerick,18,0.0,0.0001617764352010514
Gary Baker,31,9.932922491852029e-05,0.003490332950890104
Clinton Correctional Facility,18,0.0,0.0001617764352010514
Jeff Dumas,18,0.0,0.0001617764352010514
Dumas,20,0.0,0.00016234587591340126
Ben Nelson,7,0.0,0.0018404119958954207
Ross Eisenbrey,6,0.0,0.0011318723908013946
Eisenbrey,6,0.0,0.0011318723908013946
Michael Strain,15,5.364103491105343e-06,0.0037605709528989954
Joe Maykopet,9,0.0,0.0008977295186011564
Joey,11,0.0,0.0009008872885106582
Miriam,11,0.0,0.0009008872885106582
Roxana,9,0.0,0.0008977295186011564
Uncle Ted,9,0.0,0.0008977295186011564
Daddy,9,0.0,0.0008977295186011564
Eddie Bernice Johnson,13,3.0087936068982545e-05,0.0009347383367634977
David Goldston,10,0.0,0.0009337431172718813
Sherwood “Sherry” Boehlert,10,0.0,0.0009337431172718813
Goldston,10,0.0,0.0009337431172718813
applaud,19,0.0,0.0037617351159350922
Elvis,10,0.0,0.002175904105284463
Fidel Castro’s,10,0.0,0.002175904105284463
Angel Figueredo C.,6,0.0,0.0005794583152284382
Ángel Yunier Remón Arzuaga,6,0.0,0.0005794583152284382
Francisco Hernandez,6,0.0,0.0005794583152284382
Hernandez,33,0.00013972683126907347,0.004039330468130325
Sergeant Bergdahl,7,0.0,5.9007749063637716e-05
Ronald Lewis,5,0.0,5.880076775240342e-05
Mark Milley,5,0.0,5.880076775240342e-05
Tony Blinken,19,3.344449741674706e-06,0.0017751907297965247
Blinken,8,0.0,0.000584436735539447
S.V. Date,2,0.0,0.00045531507676252567
Ron Elving,2,0.0,0.00045531507676252567
Usama bin Laden's,8,0.0,0.00015834463913379584
Bin Laden's,8,0.0,0.00015834463913379584
Eugene Rogan,19,0.0,0.0010018109917093105
Sajjan Gohel,19,0.0,0.0010018109917093105
Sergei Karaganov,19,0.0,0.0010018109917093105
Andrei Klimov,19,0.0,0.0010018109917093105
Klimov,19,0.0,0.0010018109917093105
Benjamin J. Rhodes,46,1.898133948407966e-05,0.003981643144268871
Rogan,19,0.0,0.0010018109917093105
Sven Biscop,19,0.0,0.0010018109917093105
Sergei Strokan,19,0.0,0.0010018109917093105
Strokan,19,0.0,0.0010018109917093105
Sally Kohn,31,1.301384437744089e-06,0.0070021984168691775
Manchester,29,0.0,0.006412676965172363
Keene,29,0.0,0.006412676965172363
Collins Njehia,6,0.0,0.0004619177051150712
Peninah Mwangi,6,0.0,0.0004619177051150712
Erick Nyariyo,6,0.0,0.0004619177051150712
Martin Kiprotich,6,0.0,0.0004619177051150712
Garissa,34,0.000482083780984437,0.0004848778949330679
David Juma,6,0.0,0.0004619177051150712
Mark Atwood Lawrence,15,0.0,0.0038720835823277066
James Rubin,15,0.0,0.0038720835823277066
Rubin,64,2.932896371354029e-05,0.00855636858964645
Moran,11,0.0,0.001322378087982707
Natalie Portman,7,0.0,0.00037163401298171274
Martin Ginsburg,7,0.0,0.00037163401298171274
Boycott,6,0.0,0.001721974147435017
Pro-Israel Democrats,6,0.0,0.001721974147435017
Hillary Rotten Clinton,15,5.169229009321897e-07,0.003996703044199021
Allan Sawyer,8,0.0,0.00014920917853033472
George Delgado,8,0.0,0.00014920917853033472
Nancy Barto,8,0.0,0.00014920917853033472
Ducey,10,0.0,0.00014973421947997825
Bryan Howard,8,0.0,0.00014920917853033472
Ilana Addis,8,0.0,0.00014920917853033472
Shaheed,8,0.0,0.00014920917853033472
Sean McElwee,13,0.0,0.003486533708559068
Decorah,26,0.0,0.0052279291975677
Jeanette Dietzenbach,26,0.0,0.0052279291975677
Clifford Bullerman,26,0.0,0.0052279291975677
Joel Hefti,26,0.0,0.0052279291975677
Hefti,26,0.0,0.0052279291975677
Brian Logie,26,0.0,0.0052279291975677
Scott Reed,64,4.221169841813012e-06,0.011021012532599378
Ron Prosor,8,0.0,0.0007762020449755197
Kimberly Schwandt,8,0.0,0.0007762020449755197
Jon Seaton,6,0.0,0.001200823192024463
Douglas G. Elmets,26,0.0,0.005074698405556599
Carter Wrenn,26,0.0,0.005074698405556599
Dennis Nelson,26,0.0,0.005074698405556599
Abu Yahya al-Qayrawani,14,0.0,0.0002340502974663145
Elizabeth O’Brien,14,0.0,0.0002340502974663145
Run,14,0.0,0.0002340502974663145
Glenn Leathley,14,0.0,0.0002340502974663145
Olivia,14,0.0,0.0002340502974663145
Sarah Wilson,14,0.0,0.0002340502974663145
Matthew James,14,0.0,0.0002340502974663145
babe,14,0.0,0.0002340502974663145
Pollyanna-ish,27,0.0,0.0046306965064345906
Peter A. Wish,27,0.0,0.0046306965064345906
Austin Barbour,51,1.740150306530417e-06,0.007509301161464038
George Voinovich,55,2.8560675837327695e-05,0.005532739259742522
Voinovich,27,0.0,0.0046306965064345906
Becky Love,12,0.0,0.003023236674511694
Kathy Potts,12,0.0,0.003023236674511694
Sides,12,0.0,0.003023236674511694
Vavreck,12,0.0,0.003023236674511694
Camacho-Perez,17,0.0,0.0012822276791592915
Monica Camacho-Perez,15,0.0,0.001277733181378398
R. Gil Kerlikowske,15,0.0,0.001277733181378398
Marc Rosenblum,21,1.4369390517998617e-05,0.002471753893619613
Douglas S. Massey,15,0.0,0.001277733181378398
Steve Atkiss,15,0.0,0.001277733181378398
Madai Ledezma,15,0.0,0.001277733181378398
Ledezma,17,0.0,0.0012822276791592915
Wayne Cornelius,21,1.4369390517998617e-05,0.002471753893619613
Jose Pina,15,0.0,0.001277733181378398
Heather,17,0.0,0.0012822276791592915
John White,12,0.0,0.00026067161108138284
Prius,10,0.0,0.00025975740038073974
Kenneth L. Campbell,10,0.0,0.00025975740038073974
Cami Anderson,10,0.0,0.00025975740038073974
John Deasy,10,0.0,0.00025975740038073974
Joel Klein,10,0.0,0.00025975740038073974
Tara Sinclair,10,7.688743635343494e-06,0.0008945332512361132
Brad McMillan,5,0.0,0.0004359365729854324
David Cheplak,9,0.0,0.00016542968345182221
Sun,25,1.016267003122676e-05,0.0006601612271208637
Todd Edwards,9,0.0,0.00016542968345182221
Cindy,8,0.0,0.002212190479239582
Adrian Schoolcraft,2,0.0,3.8430381118493785e-30
John Eterno,2,0.0,3.8430381118493785e-30
Michael Marino,2,0.0,3.8430381118493785e-30
Abt-SRBI,12,6.877913879516585e-08,0.003047737804002264
Lisa R. Bardack,6,0.0,0.0011616974703857483
Domenico,6,0.0,0.0011616974703857483
Tamara Keith,6,0.0,0.0011616974703857483
Frank Gehry,15,0.0,0.003518638411539332
Jonah Goldberg,21,1.05028152382288e-05,0.0039004161126664216
Kelly Flinn,15,0.0,0.0036505688235270255
Phillip Sharp,15,0.0,0.0036505688235270255
Interviewer Lesley Stahl,15,0.0,0.0036505688235270255
Paul Ryan's,125,6.37219614723162e-07,0.015204475610416114
Winger,12,0.0,0.0004893963986319374
Alexis Garcia,10,0.0,0.0004876803732401965
Alex Manning,10,0.0,0.0004876803732401965
Alex Fitch,10,0.0,0.0004876803732401965
Christoph Reuter,11,0.0,5.140067844306313e-05
Der Spiegel's,13,0.0,5.158160453418833e-05
Haji Bakr,13,0.0,5.158160453418833e-05
Haji Bakr's,11,0.0,5.140067844306313e-05
Bakr,13,0.0,5.158160453418833e-05
Hisham al-Hashimi,11,0.0,5.140067844306313e-05
Reuter,11,0.0,5.140067844306313e-05
Michael Bang Petersen,3,0.0,0.0003621967860673176
Peterson,3,0.0,0.0003621967860673176
Petersen,3,0.0,0.0003621967860673176
Sayed Farook,10,0.0,0.0012627904209055758
Latonya Jones,6,0.0,0.00014253804841398107
