,degree,betweenness,eigenvector
Cornelius Adebahr,11,0.0,0.0011203773845862395
Jim Walsh,24,1.4860172331547385e-06,0.002263143249423638
Paul Simon,48,5.555422468432981e-06,0.005896187438345039
Elijah Cummings,91,0.0004722372386996717,0.007274415910628418
John Parker,19,0.0,0.003888011329405385
Gary West,19,0.0,0.003888011329405385
West,19,0.0,0.003888011329405385
Michelle Cottle,24,0.0,0.0038742244370772914
David Blankenhorn,24,0.0,0.0038742244370772914
Latino Americans,24,0.0,0.0038742244370772914
Cottle,24,0.0,0.0038742244370772914
Jonathan Rothwell,24,0.0,0.0038742244370772914
Zack Beauchamp,30,5.507887560481079e-05,0.004011278978108924
Lee Drutman,49,3.12000196018067e-06,0.005794026816413747
Philip Klinkner,24,0.0,0.0038742244370772914
Rothwell,24,0.0,0.0038742244370772914
Jörg Haider,24,0.0,0.0038742244370772914
Jean-Marie Le Pen,24,0.0,0.0038742244370772914
Marine,24,0.0,0.0038742244370772914
Pim Fortuyn,24,0.0,0.0038742244370772914
Trump Town,10,0.0,0.0017857888949152252
Wall,10,0.0,0.0017857888949152252
Chris Hayes,92,0.00011905638214486062,0.01113551282418222
Bowe Bergdahl,74,0.0003824897148973874,0.004262586097675714
Alex Castellanos,87,1.5748299413935623e-05,0.009983414164077489
Ban Ki-Moon,1,0.0,0.00045371369435757476
Kim Jong Un,70,0.00042387472743251204,0.0103596515625655
David Petraeus,185,0.0003831520868858123,0.016366783437018105
David Letterman,48,0.0001107351991466219,0.005583484465309554
Tim Terpack,8,0.0,0.00024272818713318273
Terpack,8,0.0,0.00024272818713318273
Jewell,11,0.0,0.0007591596217671565
Karen Harbert,9,0.0,0.0007564986086885673
Penny Pew,9,0.0,0.0007564986086885673
Paul Gosar,59,3.493062877663405e-05,0.0030498088044841314
David J. Hayes,9,0.0,0.0007564986086885673
Sally,9,0.0,0.0007564986086885673
Sreedhar Potarazu,10,1.6022103121155876e-07,0.00220890119324113
Potarazu,10,1.6022103121155876e-07,0.00220890119324113
Charles Grassley,150,8.728130640842028e-05,0.013417044296680083
Rob Engstrom,75,7.112282996103696e-06,0.008089176731291144
Sara Taylor Fagen,16,0.0,0.0025079812899389663
Chris Georgia,16,0.0,0.0025079812899389663
Jeff Kaufman,16,0.0,0.0025079812899389663
John Engler,16,0.0,0.0025079812899389663
Branstad,45,3.7418538107032816e-05,0.00605122676828132
Patrick Klugman,26,6.230826063855279e-05,0.0029152570847481318
Dominique Rizet,14,0.0,0.00015256540402679058
Klugman,14,0.0,0.00015256540402679058
Charles de Gaulle,73,0.0001205284778349808,0.0012183592122371515
Orly,14,0.0,0.00015256540402679058
the Prophet Mohammed,39,6.905020223052884e-05,0.004368448703933973
Charlie Hebdo's,75,7.946523528993017e-05,0.0006439832077632734
Henry Barbour,146,5.0187690529476934e-05,0.01482128161382338
the Ronald Reagan,37,7.596864078818971e-06,0.006105511752772974
Jay Cook,14,0.0,0.00022693127778700692
Joseph A. D'Amico,14,0.0,0.00022693127778700692
D'Amico,16,0.0,0.0002277300722932018
Dennis McKenna,14,0.0,0.00022693127778700692
McKenna,37,0.00013020448683335388,0.005285553264056571
Audra Buchanan,14,0.0,0.00022693127778700692
Suzanne Malveaux,44,9.982934942426248e-05,0.005419254664939693
Buchanan,209,0.00041073430557335053,0.01832818284530762
Pamela Sweat,14,0.0,0.00022693127778700698
Deng Xiaoping,6,0.0,0.0006847134159593533
Deng,35,5.234163370401014e-05,0.0012022505800859558
Aung San Suu,6,0.0,0.0006847134159593533
Paul Krugman,128,0.00017144932003308259,0.010739594716945819
Steve Randy Waldman,12,0.0,0.003408110451642222
Michele Flournoy,7,0.0,0.0009445216662049527
Jim McGovern,7,0.0,0.0009445216662049527
Kitty Hawk,18,0.0,0.001651498130851694
D-Ga,18,0.0,0.001651498130851694
Joseph Lowery,18,0.0,0.001651498130851694
Hosea Williams,18,0.0,0.001651498130851694
Diane Nash,18,0.0,0.001651498130851694
Ralph Abernathy,18,0.0,0.001651498130851694
C.T. Vivian,18,0.0,0.001651498130851694
Andrew Young,18,0.0,0.001651498130851694
Fred Shuttlesworth,18,0.0,0.001651498130851694
Bernice King,18,0.0,0.001651498130851694
Laura,198,0.00038078980000989717,0.020899961202356182
Chris Collins,63,1.442048277472975e-06,0.0070879938646066076
Washington,59,3.2883863085015624e-05,0.0057347052436714134
John Fleming,79,6.129278384006426e-05,0.008396095131443666
Sean Spicer,186,8.345988012281148e-05,0.02089083156526505
Raul Labrador,44,1.259776861133407e-05,0.005490994992705042
Bushes,115,4.633959801107626e-05,0.012368173807236437
Ken Paxton,61,0.00010294727827327948,0.004802398113569459
Paxton,4,0.0,0.0005980190118894965
Trotter,6,0.0,0.0006001225772552317
Ali Fadavi,14,0.0,0.0010064938283577487
Ash Carter,141,0.0008304889123128981,0.00845917017618992
Matthew Lee,14,0.0,0.0010064938283577487
Lolita C. Baldor,14,0.0,0.0010064938283577487
Bradley Klapper,14,0.0,0.0010064938283577487
Richard Lardner,14,0.0,0.0010064938283577487
Jon Gambrell,14,0.0,0.0010064938283577487
Nasser Karimi,14,0.0,0.0010064938283577487
a bin Laden”,7,0.0,0.0009533992409352219
Akhtar Mohammad Mansour,7,0.0,0.0009533992409352219
Jabhat al Nusra,7,0.0,0.0009533992409352219
Jack Keane,28,1.499658642548961e-05,0.0039133078892621825
Marc Thiessen’s,19,1.1036115788838703e-05,0.0033728852577040273
Katie Walsh,23,0.0,0.003635878625189565
Mike DuHaime,29,5.311826740778114e-06,0.005032439029292758
Gerrit Lansing,23,0.0,0.003635878625189565
Jim Murphy,23,0.0,0.003635878625189565
Steve Duprey,56,1.422835372676922e-06,0.007817778218137034
Matt Borges,99,1.1745449224176426e-05,0.012671392084816201
Chris Carr,23,0.0,0.003635878625189565
Carr,25,0.0,0.0036486682828842524
Summerlin,23,0.0,0.003635878625189565
Ed Cox,16,0.0,0.003282202250419979
Jonathan Barnett,16,0.0,0.003282202250419979
José Cunningham,16,0.0,0.003282202250419979
Matt Moore,177,4.0166139761018223e-05,0.02212067693971978
Katie Packer,127,3.0584993719892835e-05,0.016661237362340705
David Norcross,16,0.0,0.003282202250419979
Maxine Waters,4,0.0,0.00021609830207743361
Ralph Reed,24,1.4771965220386993e-06,0.004560931222649949
Sheriff Joe Arpaio's,13,0.0,0.003688446822497871
David Martosko,24,1.3363676168799602e-06,0.0019384320406276025
Martosko,24,1.3363676168799602e-06,0.0019384320406276025
Alireza Jafarzadeh,8,0.0,0.0007922363209019311
Jafarzadeh,8,0.0,0.0007922363209019311
LeBron James,22,2.882873543603215e-06,0.004359719966172601
Colin Kaepernick,25,5.2958977499337e-06,0.004179392458099958
Marshawn Lynch,10,0.0,0.002441118396184361
Richard Sherman,10,0.0,0.002441118396184361
Michael Jordan,10,0.0,0.002441118396184361
Kelvin Lee,4,0.0,4.628991272822084e-05
Marga Gual Soler,2,0.0,4.612753508661543e-05
Lee,109,0.0003976564311540356,0.013065297318089586
John Phillippe,5,0.0,0.0012628092255849322
Harf,24,6.412618232420691e-06,0.0018283767163405045
Lindsey O. Graham,196,0.00016691278936465954,0.020107520490346347
Abbas Araghchi,29,6.881864399026487e-06,0.0022000177292760383
David Koch,168,0.00025203633031250193,0.016676611339653622
Boyd Brown,41,0.0,0.00836343390445008
Deborah Arnie Arnesen,41,0.0,0.00836343390445008
Cindy Pollard,41,0.0,0.00836343390445008
Teachout,41,0.0,0.00836343390445008
Dick Harpootlian,41,0.0,0.00836343390445008
Salim Shevan,11,0.0,0.000279776901746809
Sinjar,22,3.3400344304648084e-05,0.0009621806011058759
Yazidi fighter,11,0.0,0.000279776901746809
Rawan Barzani,11,0.0,0.000279776901746809
Dilgash Zebari,11,0.0,0.000279776901746809
Zebari,13,0.0,0.0002807613711982344
Kobane,22,1.5302446676928037e-05,0.0003696780009499297
Bryan Murphy,11,0.0,0.000279776901746809
Karen DeYoung,75,0.0002626402104246093,0.006196688419658452
Alexander Hamilton,39,1.8205293597211967e-06,0.004101969394614878
Maria Reynolds,34,0.0,0.002514086175293377
Charles Dickinson,34,0.0,0.002514086175293377
Rachel,48,7.206753201165035e-05,0.0026399826793883857
mar Jackson’s,34,0.0,0.002514086175293377
Peggy Eaton,34,0.0,0.002514086175293377
John Eaton,34,0.0,0.002514086175293377
Peggy,34,0.0,0.002514086175293377
James Buchanan,47,2.3769897924652644e-05,0.00554074708030676
Grover Cleveland,46,5.008822800333843e-06,0.004326464421452053
William Rufus King,34,0.0,0.002514086175293377
Nancy,70,2.8460906479031928e-05,0.007705622036446833
James G. Blaine,34,0.0,0.002514086175293377
ma,34,0.0,0.002514086175293377
Warren Harding,103,0.00012075397487897908,0.00873934868399496
Carrie Phillips,34,0.0,0.002514086175293377
Nan Britton,34,0.0,0.002514086175293377
Elizabeth,155,0.0006421269889593,0.014948472182401737
Harding,50,3.365420173774683e-06,0.003895777606044807
Lucy Mercer,34,0.0,0.002514086175293377
Missy LeHand,34,0.0,0.002514086175293377
Eleanor,52,9.261685688609131e-05,0.002703495130341777
Lorena Hickock,34,0.0,0.002514086175293377
Jack Kennedy,34,0.0,0.002514086175293377
Larry Kaplow,2,0.0,4.874440422530407e-07
Libya J. Christopher Stevens,26,0.0,0.00296619111663535
Jim Jordan,104,0.00015822007802655425,0.008217001898288662
Linda Sanchez,26,0.0,0.00296619111663535
Andrea Mitchell,83,1.1138320831918587e-05,0.010203929327902343
Martha Roby,84,3.919090906444375e-06,0.01026986107953101
Peter Roskam,65,1.7930709385140395e-05,0.005790384704059798
R-Ill.,181,7.529772512698048e-05,0.01852475733809452
Adam Smith,97,0.00023831705736732605,0.008213777441342352
Jason Rezaian,48,4.059245046954584e-05,0.005796547331338369
Rezaian,11,0.0,0.0005758044357435726
Saeed Abedini,36,3.709538428833411e-05,0.005301289002054121
Amir Hekmati,9,0.0,0.000573786028901986
Mary Breme Rezaian,9,0.0,0.000573786028901986
Yeganeh Salehi,9,0.0,0.000573786028901986
Marc Mezvinsky,43,2.709827204146698e-07,0.007151761283440856
Maren Sarkarat,43,2.709827204146698e-07,0.007151761283440856
Tipper,61,2.549340469527774e-06,0.008338780806347122
Hillary Rodham,125,4.3807396137795576e-05,0.011173822945793893
Larry Lessig,35,1.3689960177683054e-07,0.005790230246368146
Gary Langer,24,5.859190075466393e-08,0.006404118251079703
Robin Hanson,11,0.0,0.0022560789331935584
Oscar,93,0.000712430882743434,0.004870519356325608
Intrade,11,0.0,0.0022560789331935584
John Stossel’s,11,0.0,0.0022560789331935584
Maxim Lott,20,9.613988205955773e-05,0.0023804978124909674
John Stossel,13,0.0,0.002264013927853936
Eric,215,0.0002754623901753056,0.01928841080683836
Donald Jr.,94,2.1453811877069174e-05,0.012512774830550539
Michael Caputo,17,0.0,0.002410368773379787
Ding dong,17,0.0,0.002410368773379787
Green Monster,17,0.0,0.002410368773379787
Tom Vilsack,331,0.0003562974884040149,0.03170471061955394
Thomas Perez,51,4.3128679887588114e-05,0.006970955470996751
W. Jeb,24,0.0,0.005211520811225729
John Kasich-,24,0.0,0.005211520811225729
Tulsi Gabbard,82,1.2229249175621598e-05,0.010702285306311378
Steve Shepard,15,0.0,0.0032508986327720512
Lester Holt,164,6.9533917836797e-05,0.013346308155069521
David Plouffe,111,0.00020779814354644882,0.011268480885411923
Phil,15,0.0,0.0032508986327720512
dad,15,0.0,0.0032508986327720512
Scott Brown,146,4.3290056602696374e-05,0.017426434764425913
Phillippe Reines,15,0.0,0.0032508986327720512
https://t.co/SrlAbK3rfK,9,0.0,0.001002315112816465
@vj44,20,8.954710145924554e-06,0.002709662511731045
Erin Ruberry,9,0.0,0.001002315112816465
Byron Tau,9,0.0,0.001002315112816465
Chris Murphy,69,3.811765760914469e-05,0.007118626169815935
Elliot Rodger’s,7,0.0,0.00011537643898290397
Seung-Hui Cho,22,5.054223913967157e-05,0.0014551185511188264
Sandy Hook,73,0.0006609416720963381,0.0054164849193260225
God,156,0.0005559747541150006,0.015021725320639539
Elliot Rodger,9,0.0,0.00011578257967946506
John Nash,9,0.0,0.00011578257967946506
DoJ,7,0.0,0.000115376438982904
Ryan Young,45,0.00010063308388131088,0.002400784242419817
Brad Rhodes,16,0.0,0.00031499615234531535
Kevin Davis,23,1.3877135946614284e-06,0.00041827083034426724
Jamal Bryant,34,5.3337298716494196e-05,0.002671289450703345
Andrew O'Connell,16,0.0,0.00031499615234531535
Hwang Jung,16,0.0,0.00031499615234531535
Jason Downs,16,0.0,0.00031499615234531535
van,41,2.188283068437328e-05,0.0006466525506246472
Tim Malloy,15,9.765680837437225e-08,0.004925161479345766
Jorge Mario Bergoglio,15,0.0,0.0006811212775355475
Buenos Aires,27,1.2059743390514249e-05,0.0011373582051865316
Benedict XVI,72,0.0001755784875294785,0.003572864596708065
John Paul II,49,7.801826807780068e-05,0.003522681681174681
Bergoglio,15,0.0,0.0006811212775355475
Juan Domingo Perón,15,0.0,0.0006811212775355475
Laudato Si,15,0.0,0.0006811212775355475
Damon Silvers,15,0.0,0.0006811212775355475
Greg Gutfeld,15,0.0,0.0006811212775355475
Ken Langone,44,3.875892577457553e-05,0.005666293880385545
Nazareth,15,0.0,0.0006811212775355475
Matea Gold,245,6.87205783964847e-05,0.025919963137483428
Getting Kasich,8,0.0,0.002388102332271576
Reid Epstein,8,0.0,0.002388102332271576
Kristie L. Seelman,2,0.0,0.0004507702672021098
Seelman,2,0.0,0.0004507702672021098
Winston Churchill,59,0.0009380070093858847,0.00664463770235897
Nelson Mandela,42,5.482325530716614e-05,0.005713117851569563
Nathan Nicholson,1,0.0,0.0001991285327188954
Arias,7,0.0,6.626939319949903e-05
Jodi Arias,5,0.0,6.603696709586153e-05
Travis Alexander,5,0.0,6.603696709586153e-05
Samantha Alexander,5,0.0,6.603696709586153e-05
Alexander,180,0.0014025139689741108,0.01850487868475064
Chris Hughes,5,0.0,6.603696709586153e-05
Dmitry Chizhevsky,5,0.0,1.367754250040418e-25
Nikolai Baev,5,0.0,1.367754250040418e-25
Chizhevsky,7,0.0,1.6223489310963483e-25
Tatiana Vinnitchenko,5,0.0,1.367754250040418e-25
Vinnitchenko,7,0.0,1.6223489310963483e-25
Leonid Shestakov,5,0.0,1.367754250040418e-25
Gerald Lynch,5,0.0,0.0007764901081824942
Enrique Peña Nieto,118,2.6166311985858314e-05,0.014640522817200591
Dennis Cheng,55,7.578238021503714e-06,0.007882576687511987
Jesse Ferguson,33,7.8884052642412e-06,0.0037143161636355878
Cheng,7,0.0,0.0013507333369966834
D-Mo.,18,9.497334313062414e-07,0.001680067446272295
John Mica,44,4.3269040056187475e-05,0.0026394617039439887
Timothy Camus,12,0.0,0.00032077280455954294
J. Russell George,12,0.0,0.00032077280455954294
Lerner,84,8.600364594206451e-05,0.00850816450256405
Patrick O'Donnell,12,0.0,0.00032077280455954294
O'Donnell,25,2.23616633844482e-05,0.002127849386328398
Carolyn Maloney,34,3.0585190930744216e-05,0.0015227048344473007
Camus,14,0.0,0.0003219017136243957
Doug McKelway,19,1.6664557802191242e-05,0.0009866927449186651
Colleen Schmitt,2,0.0,3.014606942384514e-28
Lawrence Muscarella,2,0.0,3.014606942384514e-28
Fidel Castro,142,9.266725890411883e-05,0.016464872238420025
Jason Smith,33,0.0,0.00597430499063634
Nigel Farage,154,4.7640642343671815e-05,0.015315554038365393
Farage,33,0.0,0.00597430499063634
Kathy Shelton,65,4.319410835049189e-06,0.007990512570615019
Billy Bush,151,7.43849337252303e-06,0.01934539887284189
Politifact,139,0.00010939284198520275,0.01274029606719145
Ruth Sherman,9,0.0,0.0023167520201687174
Sherman,45,0.0003608851282047879,0.004683281980559839
Herculean,9,0.0,0.0023167520201687174
no Donald Trump,9,0.0,0.0023167520201687174
Chuck Hagel,156,0.0002650106833460715,0.013533944510634537
Steven Sotloff,69,0.00041372868068527283,0.005566683356784638
Abdul-Rahman Peter Kassig,24,1.4836815927624919e-08,0.004451666338069471
Gabe Sherman,20,0.0,0.0048175959862255665
Abe Lincoln,20,0.0,0.0048175959862255665
John Kasich's,110,1.909901978969107e-05,0.014205806929250506
Jeb Bush's,136,4.816759441657672e-05,0.016747128588322308
Library,1,0.0,0.00045371369435757476
Robert Kagan,18,0.0,0.0019488076392978348
John McCain's,56,1.9364808399221952e-05,0.006625125307638974
Cotton,36,4.097925950410948e-06,0.0033164178117036773
David Rothkopf,52,1.516584042165163e-05,0.0063806958512784276
John Marshall,48,0.00030190091997378456,0.00276038496566521
Michael Ramsey,18,0.0,0.0019488076392978348
Peter Spiro,18,0.0,0.0019488076392978348
Mary Pat,12,0.0,0.002462796877183791
Michele Bachman,12,0.0,0.002462796877183791
Cameron,68,0.00011501678806971423,0.00286937760556123
Emwazi,41,4.5167081422853326e-05,0.0008948874412852931
Abdul-Rahman Kassig,39,2.9998679676853596e-06,0.0007849888969679182
David Haines,51,3.584984859287088e-05,0.0008899173514914848
Alan Henning,51,3.584984859287088e-05,0.0008899173514914848
Foley,60,8.624462868170782e-05,0.0023276361491232234
Diane Foley,24,0.0,0.0005144317900920465
Shirley Sotloff,39,2.9998679676853596e-06,0.0007849888969679182
Steven,42,4.4458627714314305e-05,0.0007558016780443058
Jihadi John,39,2.9998679676853596e-06,0.0007849888969679182
Peter Neumann,39,1.9377132863606413e-05,0.0014225035823602187
Faysal Itani,35,2.1675989846351784e-05,0.0006671080657897641
Julie Tate,126,0.00023164071772455416,0.004610661472315873
Thomas Gibbons-Neff,102,0.00016430998231686673,0.0047523754230858455
Liz Sly,149,0.00032674054222749723,0.017521397247611138
Hyat-Khan,8,0.0,0.0025927917800182723
Founder,8,0.0,0.0025927917800182723
Ph.D.,58,1.5989096697660925e-05,0.006685535776183669
Reason,28,5.264803872819727e-06,0.005668278516988663
Bailey,19,8.123600965534421e-05,0.0035513454051170263
Jennifer Rubin,37,2.4033539174548844e-06,0.007176842930863476
Julian Zelizer,134,4.554622855963709e-05,0.016964217865531223
Jerry Falwell,69,2.210812967527789e-05,0.010646462402286408
Pam Bondi,129,0.00016018812435434864,0.014018279187962586
Richard Walton,16,0.0,8.291253974193619e-05
Asim Qureshi,23,3.063581960799778e-05,0.0006027021798463044
Peter Kassig,31,0.00012857853334782499,0.0017835122513118152
Abdul-Rahman,20,4.980060006858705e-06,0.0002507891036169707
"John""",16,0.0,8.291253974193619e-05
Al Shabaab,52,0.00012110151052784177,0.00016280340526300078
Janine Kintenda,16,0.0,8.291253974193619e-05
Mohammad el-Araj,16,0.0,8.291253974193619e-05
Ibrahim al-Mazwagi,16,0.0,8.291253974193619e-05
Choukri Ellekhlifi,16,0.0,8.291253974193619e-05
Clementa C. Pinckney,43,6.816496665606342e-05,0.0008200316962415598
Norvell Goff,16,0.0,0.00010785347055736441
Daniel E. Martin Jr.,16,0.0,0.00010785347055736441
Reba Martin,18,0.0,0.00010823312707912395
Mother Emanuel,41,6.816496665606342e-05,0.0008171567371953867
Emanuel,155,0.0009899265665310874,0.009149705525937746
Brandon Robinson,16,0.0,0.00010785347055736441
Branden Sweeper,16,0.0,0.00010785347055736441
Denmark Vesey,21,4.025091414668936e-05,0.0005112117708274796
Vesey,16,0.0,0.00010785347055736441
Devil,16,0.0,0.00010785347055736441
Marlene Coakley-Jenkins,16,0.0,0.00010785347055736441
Myra,16,0.0,0.00010785347055736441
Coakley-Jenkins,16,0.0,0.00010785347055736441
Vladimir Putin’s,5,0.0,0.0006739782997713951
Bashar Assad,101,0.0008508656094489214,0.008065059763637798
Muath al-Kaseasbeh,47,1.1103606333484879e-05,0.0017855152758797124
Mohammad al-Momani,18,0.0,0.001247969933131748
Amman,18,0.0,0.001247969933131748
Safi al-Kasseasbeh,18,0.0,0.001247969933131748
Al-Kaseasbeh's,20,1.010847653110271e-06,0.00144116592926861
Abdullah,78,0.00012686521032652352,0.003279824260821786
Yousf Majid al-Zarbi,18,0.0,0.001247969933131748
Sajida al-Rishawi,37,3.876223794053176e-06,0.0014844246124414812
Zaid al-Karbouly,18,0.0,0.001247969933131748
Mike Emanuel,38,2.3363186309707408e-05,0.004708392179177897
TPA,26,0.0,0.0020530431775294075
Donna Edwards,116,5.8688588147718277e-05,0.014521882540581111
Justin Amash,57,4.132860351389861e-05,0.006254546274271115
Pro-TPP Republicans,26,0.0,0.0020530431775294075
Henry Cuellar,93,2.8004941851528448e-05,0.01224909741651008
Jim Costa,26,0.0,0.0020530431775294075
Brad Ashford,26,0.0,0.0020530431775294075
Rod Blum,26,0.0,0.0020530431775294075
Kathleen Rice,26,0.0,0.0020530431775294075
Ami Bera,26,0.0,0.0020530431775294075
Ruben Hinojosa,26,0.0,0.0020530431775294075
Alex Brill,26,0.0,0.0020530431775294075
pro-TPP,26,0.0,0.0020530431775294075
Steny Hoyer,109,3.750119333509389e-05,0.011275874187432484
Charles Camosy,5,0.0,9.477198387927312e-05
Sarah Kliff,9,2.9760059377651948e-05,0.0006784797719784665
Camosy,7,0.0,9.510550185265452e-05
Damon Linker,5,0.0,9.477198387927312e-05
Linker,5,0.0,9.477198387927312e-05
Bernie Believers,10,0.0,0.0021587172086345702
Sally Fields,10,0.0,0.0021587172086345702
Elizabeth Banks,10,0.0,0.0021587172086345702
Mary Steenburgen,10,0.0,0.0021587172086345702
Sarah Griebe,10,0.0,0.0021587172086345702
Griebe,10,0.0,0.0021587172086345702
Arnold Schwarzenegger,133,1.9611677865673392e-05,0.01635178318255151
Kerwin Swint,9,0.0,0.0030911001819060547
Ehab Mohieeldin,3,0.0,2.4958700821552855e-06
Hani Galal,3,0.0,2.4958700821552855e-06
Patrisse Cullors,7,0.0,0.001083973839377081
Cullors,7,0.0,0.001083973839377081
Malkia Williams,7,0.0,0.001083973839377081
Gregory McKelvey,7,0.0,0.001083973839377081
Joe Daniels,7,0.0,0.001083973839377081
Kenneth Gross,25,0.0,0.0031873353486757358
Brett Kappel,25,0.0,0.0031873353486757358
Gregory Carlson,25,0.0,0.0031873353486757358
Anthony Herman,25,0.0,0.0031873353486757358
Michael Toner,32,4.3635588418854574e-07,0.0033702110074468926
Jules Witcover,25,0.0,0.0031873353486757358
John Wayne,89,4.4756263749821865e-05,0.006629764581119165
Jimmy Stewart,25,0.0,0.0031873353486757358
Pat Boone,25,0.0,0.0031873353486757358
Herman,25,0.0,0.0031873353486757358
Joy Hoffman,25,0.0,0.0031873353486757358
Hoffman,27,0.0,0.0031985478705985537
Trumps,356,0.0003611525287566615,0.030413856535997322
Jim Rutenberg,8,0.0,0.0007763170053486224
Rick Perlstein,37,2.8068777989223045e-05,0.005303191132626941
Hubert Humphrey,72,6.444211608037149e-05,0.008707538609437857
Will Trump,17,2.9243309181574573e-06,0.0018768552774246251
Catherine,34,9.039165524610087e-06,0.004128244498688722
Heidi Cruz,98,9.010191413810374e-05,0.009527367001034204
Register,10,0.0,0.0011230112121601182
Holly Shulman,10,0.0,0.0011230112121601182
David Leonardt,4,0.0,0.001590907616318116
Michael Bender,18,0.0,0.00430518364761454
Christopher Stoll,11,0.0,0.00011974312196496528
Howard Wasserman,11,0.0,0.00011974312196496528
Sam Brownback,42,0.0003120253663467988,0.004418845801449796
Gene Schaerr,28,7.654058958307562e-05,0.001406820837678398
Vaughn Walker,11,0.0,0.00011974312196496528
Cynthia Coffman,54,0.0001476890796349623,0.004967305099981277
Mark Herring,11,0.0,0.00011974312196496526
Michael Kelly,11,0.0,0.00011974312196496526
Tom Witt,11,0.0,0.00011974312196496526
Helena Jimenez,17,0.0,0.0016202860865787477
Fernand Amandi,36,1.483465503299823e-05,0.004414358832389494
Mo Elleithee,77,6.675076564590518e-05,0.008523634574673263
Orlando Feliciano,17,0.0,0.0016202860865787477
Feliciano,17,0.0,0.0016202860865787477
Carl Meacham,17,0.0,0.0016202860865787477
Meacham,19,0.0,0.001625985743294841
Jaime Suchlicki,17,0.0,0.0016202860865787477
Suchlicki,17,0.0,0.0016202860865787477
Amandi,17,0.0,0.0016202860865787477
Miguel Coppola,17,0.0,0.0016202860865787477
Coppola,17,0.0,0.0016202860865787477
George Stephanopoulos,248,0.0001972795936169943,0.02240770800661689
Tapper,20,0.0,0.003949171630268836
Mayor,20,0.0,0.003949171630268836
Kellyanne,39,6.801141159950046e-07,0.006341202134589967
Larry Mishel,4,0.0,0.00039366285752608874
Marc Perrone,4,0.0,0.00039366285752608874
Steven Pearson,2,0.0,0.00045601166058063884
Mizzou,9,0.0,0.00014330935589492466
Jonathan Butler,9,0.0,0.00014330935589492466
thugs,9,0.0,0.00014330935589492466
Don Lemon,94,0.00024989494334941905,0.009178771260439008
Mike Brown,36,6.573309655555014e-05,0.0009472033552150344
Michelle,118,0.001916360120839681,0.00867052341365434
Martha Coakley,6,0.0,0.0008063318466873028
John G. Roberts Jr.’s,4,0.0,0.0002542538275184528
William R. Maurer,4,0.0,0.0002542538275184528
George F. Will,130,0.00010138080195324808,0.017476489541689844
Collins,61,1.750798090319127e-05,0.007877463353142315
Mick Krieger,16,0.0,0.0014128359419722232
Pius XII,16,0.0,0.0014128359419722232
Paul VI,16,0.0,0.0014128359419722232
Durbin,85,3.415312797851541e-05,0.009579630337548203
John XXIII,16,0.0,0.0014128359419722232
Saint Ron,9,0.0,0.0028516649685613404
Kemp,86,3.101530097070433e-05,0.010386855481526439
Rand Paul's,22,1.7921721089631264e-06,0.003947681246079005
Flake,5,0.0,0.0012482371301588719
Holt,10,0.0,0.0019338772285868746
Louis XVI,10,0.0,0.0019338772285868746
Lester,10,0.0,0.0019338772285868746
John Hancock,6,0.0,0.00015677865543365925
Samuel Adams,6,0.0,0.00015677865543365925
Adams,78,0.00018029414983811604,0.009057102794598582
Samuel,6,0.0,0.00015677865543365925
Walter R. Borneman,6,0.0,0.00015677865543365925
Andrew Rafferty,9,0.0,0.0026764677084802047
David Duke,256,8.73940758120089e-05,0.026229819439271176
Mark Hurwitz,11,0.0,0.0011883082487405305
Sri Srinavasan,11,0.0,0.0011883082487405305
Srinivasan,11,0.0,0.0011883082487405305
Mitch] McConnell,11,0.0,0.0011883082487405305
James Hohmann,11,0.0,0.0011883082487405305
Jay Wexler,11,0.0,0.0011883082487405305
Hurwitz,13,0.000342285738202726,0.0011883376841122328
Prince Salman,20,5.072227499853634e-06,0.0014108098233677928
King Abdul-Aziz Al Saud,16,0.0,0.0012725268453091729
Abdul-Aziz's,16,0.0,0.0012725268453091729
desert heartland,16,0.0,0.0012725268453091729
Fahd,18,0.0,0.0012770033626884403
Sultan,16,0.0,0.0012725268453091729
Sheik Saleh al-Lihedan,16,0.0,0.0012725268453091729
Karen Elliot House,16,0.0,0.0012725268453091729
Pat Toomey,485,0.00028164260612339147,0.04364086609873884
Megan Kelly,19,0.0,0.004922703516090345
Jim Clyburn,77,1.9983159565739743e-05,0.009261877964747577
Thomas E. Patterson,6,0.0,0.002133624392506015
Shorenstein,6,0.0,0.002133624392506015
Edgar Deleon,10,0.0,0.0026623582959426993
Mira Bowin,10,0.0,0.0026623582959426993
John Sasso,10,0.0,0.0026623582959426993
Sasso,10,0.0,0.0026623582959426993
Enrique Marquez,22,1.7748019729403268e-05,0.000193702106618976
Syed Rizwan Farook,88,0.0005205063419402736,0.002776253301312944
Armida Chacon,10,0.0,3.0682643056655155e-05
David Bowdich,43,0.00021729083848131528,0.0015174135382672131
Marquez,10,0.0,3.0682643056655155e-05
Bowdich,35,0.00018977754630761473,0.0014682746511006923
Farook,76,0.0003875020288045914,0.0026115292884953062
Freddy Escamilla,10,0.0,3.068264305665515e-05
Escamilla,10,0.0,3.068264305665515e-05
Azmi Hasan,10,0.0,3.068264305665515e-05
Syed Rizwan Farook's,10,0.0,3.068264305665515e-05
Jackie Walorski,23,0.0,0.001091993536204478
R-Ind.,79,5.587956242130996e-05,0.0064882218012529465
Steve Scalise,102,7.226593779967787e-05,0.010849971678346518
